kol,coin,giris,cikis,R,pnl,neden,anahtar
squeeze,XRP,2025-03-13 23:00:00+00:00,2025-03-15 04:00:00+00:00,2.4506505671537457,13.037461017257927,tp,squeeze:XRP
donchian,ETH,2025-03-10 16:00:00+00:00,2025-03-15 16:00:00+00:00,-0.4410610771726831,-2.3464449305586745,sure,donchian:ETH
squeeze,DOGE,2025-03-15 13:00:00+00:00,2025-03-16 02:00:00+00:00,-1.0828981074469926,-5.761017931618,sl,squeeze:DOGE
donchian,BNB,2025-03-15 20:00:00+00:00,2025-03-16 08:00:00+00:00,-1.0518071794185422,-5.595614194506645,sl,donchian:BNB
bb,LTC,2025-03-15 09:00:00+00:00,2025-03-17 09:00:00+00:00,-0.18130987824068476,-0.9645685522404429,sure,bb:LTC
donchian,ADA,2025-03-18 12:00:00+00:00,2025-03-19 08:00:00+00:00,-1.034143498090242,-5.501643409840087,sl,donchian:ADA
squeeze,XLM,2025-03-18 23:00:00+00:00,2025-03-19 11:00:00+00:00,2.4269677664264937,12.911468517388947,tp,squeeze:XLM
donchian,BNB,2025-03-17 00:00:00+00:00,2025-03-22 00:00:00+00:00,0.13319463551465507,0.708595460937965,sure,donchian:BNB
squeeze,TRX,2025-03-20 18:00:00+00:00,2025-03-22 18:00:00+00:00,0.3318474585276855,1.5885667468874336,sure,squeeze:TRX
bb,LTC,2025-03-22 18:00:00+00:00,2025-03-24 10:00:00+00:00,-1.0915620295151554,-5.807109997020627,sl,bb:LTC
