ts,symbol,oi,oi_usd,price,funding
2026-07-30T01:18:53+00:00,ICP,239710257.0,497398783.27500004,2.075,-0.000187
2026-07-30T01:18:53+00:00,BNB,4386430.0,2512985747.0,572.9,7.8e-05
2026-07-30T01:18:53+00:00,XRP,53965672.0,57764855.308800004,1.0704,7.7e-05
2026-07-30T01:18:53+00:00,DOGE,5716769.0,401545.85456,0.07024,-1e-06
2026-07-30T01:18:53+00:00,TRX,1071117.0,348498.62711999996,0.32536,-0.000111
2026-07-30T01:18:53+00:00,XLM,4520753.0,774269.3663100001,0.17127,-0.000125
2026-07-30T01:18:53+00:00,LTC,18923152.0,854001849.76,45.13,-2.1e-05
2026-07-30T01:33:54+00:00,SOL,22566632.0,1666320106.88,73.84,3.1e-05
2026-07-30T01:33:54+00:00,ETH,100660797.0,192484582631.37,1912.21,3.7e-05
2026-07-30T01:33:54+00:00,ADA,66052260.0,10812754.962000001,0.1637,3.3e-05
2026-07-30T01:33:54+00:00,NEAR,7001175.0,11292895.275,1.613,4.9e-05
2026-07-30T01:33:54+00:00,BCH,8487107.0,1781613501.4399998,209.92,-3.1e-05
2026-07-30T01:33:54+00:00,ICP,239829830.0,500285025.37999994,2.086,-0.00017
2026-07-30T01:33:54+00:00,BNB,4379489.0,2516892328.3,574.7,8.3e-05
2026-07-30T01:33:54+00:00,XRP,54580338.0,58701153.518999994,1.0755,8.7e-05
2026-07-30T01:33:54+00:00,DOGE,5701868.0,402380.82476,0.07057,5e-06
2026-07-30T01:33:54+00:00,TRX,1071576.0,349387.35480000003,0.32605,-0.000114
2026-07-30T01:33:54+00:00,XLM,4499679.0,774214.76874,0.17206,-0.000117
2026-07-30T01:33:54+00:00,LTC,18915257.0,856861142.0999999,45.3,-1.1e-05
2026-07-30T01:49:12+00:00,SOL,21135251.0,1566122099.1,74.1,3.9e-05
2026-07-30T01:49:12+00:00,ETH,101262911.0,194222263298.0,1918.0,4e-05
2026-07-30T01:49:12+00:00,ADA,65134543.0,10708118.869199999,0.1644,2.4e-05
2026-07-30T01:49:12+00:00,NEAR,6980998.0,11288273.766,1.617,4.9e-05
2026-07-30T01:49:12+00:00,BCH,8473609.0,1784372583.22,210.58,-2.5e-05
2026-07-30T01:49:12+00:00,ICP,238541873.0,498552514.57,2.09,-0.000153
2026-07-30T01:49:12+00:00,BNB,4414875.0,2541643537.5,575.7,9e-05
2026-07-30T01:49:12+00:00,XRP,55010666.0,59411519.28,1.08,0.0001
2026-07-30T01:49:12+00:00,DOGE,5635313.0,397796.74467,0.07059,1.3e-05
2026-07-30T01:49:12+00:00,TRX,1079889.0,352151.8029,0.3261,-0.000111
2026-07-30T01:49:12+00:00,XLM,4463672.0,770117.3301599999,0.17253,-9.5e-05
2026-07-30T01:49:12+00:00,LTC,18951108.0,859243236.72,45.34,-2e-06
2026-07-30T02:04:12+00:00,SOL,22475531.0,1664313070.55,74.05,4.8e-05
2026-07-30T02:04:12+00:00,ETH,101371621.0,194217888673.90002,1915.9,4.5e-05
2026-07-30T02:04:12+00:00,ADA,64574998.0,10583842.1722,0.1639,1.4e-05
2026-07-30T02:04:12+00:00,NEAR,6956201.0,11262089.419,1.619,4.2e-05
2026-07-30T02:04:12+00:00,BCH,8474797.0,1786063467.75,210.75,-2e-05
2026-07-30T02:04:12+00:00,ICP,238378582.0,498211236.38,2.09,-0.000135
2026-07-30T02:04:12+00:00,BNB,4581543.0,2645841082.5,577.5,9.6e-05
2026-07-30T02:04:12+00:00,XRP,54827563.0,59109595.67030001,1.0781,0.0001
2026-07-30T02:04:12+00:00,DOGE,5638518.0,397966.60044,0.07058,2.4e-05
2026-07-30T02:04:12+00:00,TRX,1084131.0,353545.96041,0.32611,-0.000113
2026-07-30T02:04:12+00:00,XLM,4559106.0,787494.3793799999,0.17273,-8.1e-05
2026-07-30T02:04:12+00:00,LTC,18938342.0,859611343.38,45.39,1e-06
2026-07-30T02:19:14+00:00,SOL,21673305.0,1605124968.3,74.06,5.4e-05
2026-07-30T02:19:14+00:00,ETH,103997042.0,199491285846.08,1918.24,4.7e-05
2026-07-30T02:19:14+00:00,ADA,63314732.0,10377284.5748,0.1639,-3e-06
2026-07-30T02:19:14+00:00,NEAR,6963335.0,11287566.035,1.621,4.1e-05
2026-07-30T02:19:14+00:00,BCH,8475162.0,1785462378.54,210.67,-1.6e-05
2026-07-30T02:19:14+00:00,ICP,236873084.0,496012237.89599997,2.094,-0.00012
2026-07-30T02:19:14+00:00,BNB,4618306.0,2662915239.6,576.6,9.9e-05
2026-07-30T02:19:14+00:00,XRP,55166616.0,59519262.002399996,1.0789,0.0001
2026-07-30T02:19:14+00:00,DOGE,5660504.0,399744.79248,0.07062,3.4e-05
2026-07-30T02:19:14+00:00,TRX,1084598.0,353427.10427999997,0.32586,-0.000124
2026-07-30T02:19:14+00:00,XLM,4564320.0,787664.7024,0.17257,-6.4e-05
2026-07-30T02:19:14+00:00,LTC,18953206.0,860286020.34,45.39,4e-06
2026-07-30T02:34:32+00:00,SOL,22059062.0,1630385272.4199998,73.91,6e-05
2026-07-30T02:34:32+00:00,ETH,103439940.0,197751305295.0,1911.75,5e-05
2026-07-30T02:34:32+00:00,ADA,61800497.0,10067300.961299999,0.1629,-5e-06
2026-07-30T02:34:32+00:00,NEAR,6951873.0,11248130.514,1.618,3.8e-05
2026-07-30T02:34:32+00:00,BCH,8474093.0,1782440721.6200001,210.34,-1.7e-05
2026-07-30T02:34:32+00:00,ICP,236973816.0,495275275.43999994,2.09,-0.000103
2026-07-30T02:34:32+00:00,BNB,4618625.0,2661251725.0,576.2,0.000103
2026-07-30T02:34:32+00:00,XRP,55293235.0,59561872.742,1.0772,0.0001
2026-07-30T02:34:32+00:00,DOGE,5521740.0,389945.27880000003,0.07062,3.7e-05
2026-07-30T02:34:32+00:00,TRX,1084141.0,353234.82062,0.32582,-0.00013
2026-07-30T02:34:32+00:00,XLM,4517078.0,778066.6854999999,0.17225,-5.4e-05
2026-07-30T02:34:32+00:00,LTC,18718398.0,848130613.38,45.31,1.3e-05
2026-07-30T02:49:33+00:00,SOL,22138266.0,1636460622.72,73.92,6.6e-05
2026-07-30T02:49:33+00:00,ETH,103728016.0,198405762604.0,1912.75,5.4e-05
2026-07-30T02:49:33+00:00,ADA,62262699.0,10155046.2069,0.1631,4e-06
2026-07-30T02:49:33+00:00,NEAR,7008862.0,11368374.164,1.622,3.5e-05
2026-07-30T02:49:33+00:00,BCH,8469897.0,1782913318.5,210.5,-9e-06
2026-07-30T02:49:33+00:00,ICP,237782687.0,496965815.83,2.09,-8.6e-05
2026-07-30T02:49:33+00:00,BNB,4619227.0,2661598597.4,576.2,0.000106
2026-07-30T02:49:33+00:00,XRP,55570708.0,59849652.515999995,1.077,0.0001
2026-07-30T02:49:33+00:00,DOGE,5500418.0,388109.49408,0.07056,4.9e-05
2026-07-30T02:49:33+00:00,TRX,1083288.0,352837.73448,0.32571,-0.000139
2026-07-30T02:49:33+00:00,XLM,4539426.0,781961.52276,0.17226,-4.9e-05
2026-07-30T02:49:33+00:00,LTC,18676672.0,846053241.5999999,45.3,2e-05
2026-07-30T03:05:09+00:00,SOL,22370407.0,1653173077.3000002,73.9,6.8e-05
2026-07-30T03:05:09+00:00,ETH,103641946.0,198139563104.41998,1911.77,5.4e-05
2026-07-30T03:05:09+00:00,ADA,62290701.0,10147155.1929,0.1629,1.2e-05
2026-07-30T03:05:09+00:00,NEAR,7033740.0,11457962.46,1.629,2e-05
2026-07-30T03:05:09+00:00,BCH,8472691.0,1785534901.3400002,210.74,-9e-06
2026-07-30T03:05:09+00:00,ICP,237412441.0,496192001.68999994,2.09,-9.1e-05
2026-07-30T03:05:09+00:00,BNB,4447167.0,2555342158.2000003,574.6,0.000109
2026-07-30T03:05:09+00:00,XRP,55186023.0,59380160.748,1.076,0.0001
2026-07-30T03:05:09+00:00,DOGE,5468231.0,385674.33242999995,0.07053,5.6e-05
2026-07-30T03:05:09+00:00,TRX,1091145.0,355124.0517,0.32546,-0.000152
2026-07-30T03:05:09+00:00,XLM,4548668.0,783826.46976,0.17232,-4.9e-05
2026-07-30T03:05:09+00:00,LTC,18658144.0,847452900.48,45.42,2e-05
2026-07-30T03:20:10+00:00,SOL,22346703.0,1649857082.49,73.83,7.1e-05
2026-07-30T03:20:10+00:00,ETH,103469359.0,197787887890.04,1911.56,5.6e-05
2026-07-30T03:20:10+00:00,ADA,62294667.0,10129112.8542,0.1626,1.6e-05
2026-07-30T03:20:10+00:00,NEAR,6951395.0,11309919.665,1.627,1.8e-05
2026-07-30T03:20:10+00:00,BCH,8468828.0,1786753331.4399998,210.98,-5e-06
2026-07-30T03:20:10+00:00,ICP,237866022.0,495712789.848,2.084,-0.000103
